n_total,ALLEMAGNE_Leipzig University,"ETATS-UNIS_Center for Hellenic Studies, Harvard University",GEORGIE_Tbilisi State University,ALLEMAGNE_Deutsches Archäologisches Institut,FRANCE_University Lyon 2,ETATS-UNIS_Tufts University,BULGARIE_University of Sofia,BRESIL_Universidade Estadual Paulista,CROATIE_University of Zagreb,NORVEGE_University of Oslo,ANGLETERRE_University of London,ITALIE_University of Bari,ANGLETERRE_King’s College London,ALLEMAGNE_University of Heidelberg,ETATS-UNIS_University of Florida,ETATS-UNIS_Franklin & Marshall College,ETATS-UNIS_University of Iowa,"ETATS-UNIS_Rhodes College & Center for Hellenic Studies, Harvard University",FRANCE_University Paris Nanterre,EGYPTE_Ain Shams University,ALLEMAGNE_University of Freiburg,"ETATS-UNIS_Institute for the Study of the Ancient World, New York University",ANGLETERRE_Lancaster University,ANGLETERRE_Roehampton University,ANGLETERRE_University of Exeter,ANGLETERRE_Institute of Historical Research,ANGLETERRE_School of Advanced Study,BELGIQUE_Katholieke Universiteit Leuven,FINLANDE_University of Helsinki,ROUMANIE_Babeș-Bolyai University,ANGLETERRE_Alan Turing Institute,ANGLETERRE_University of Cambridge,IRAN_University of Tehran,ITALIE_University of Parma,ALLEMAGNE_University of Trier,ANGLETERRE_Open University,SUISSE_Deutsches Archäologisches Institut-École polytechnique fédérale de Lausanne,ALLEMAGNE_University of Bonn,FRANCE_SketchFab,ETATS-UNIS_University of Virginia,FRANCE_University of Bordeaux,ETATS-UNIS_University of Pittsburgh,ANGLETERRE_University of Reading,ALLEMAGNE_University of Cologne,SUISSE_École polytechnique fédérale de Lausanne,ETATS-UNIS_Duke University,ETATS-UNIS_Eldarion,ETATS-UNIS_Binghamton University,ANGLETERRE_British Library,ANGLETERRE_University of Lancaster,ETATS-UNIS_University of South Florida,ANGLETERRE_University of Portsmouth,ANGLETERRE_University of Oxford,ECOSSE_Glasgow University,ETATS-UNIS_Brown University,ETATS-UNIS_University of Chicago,ETATS-UNIS_Alpheios,TURQUIE_Boğaziçi University,ISRAEL_Haifa University,ANGLETERRE_Birkbeck University,ITALIE_Università Cattolica del Sacro Cuore,BELGIQUE_University of Ghent,SUISSE_University of Basel,POLOGNE_Kraków University,ETATS-UNIS_University of Nebraska Lincoln,"ITALIE_Istituto di Linguistica Computazionale «A. Zampolli», CNR, Pisa",ETATS-UNIS_University of Oklahoma,ETATS-UNIS_Furman University,ALLEMAGNE_Heidelberg Academy of Sciences and Humanities,GEORGIE_Ilia State University,AFRIQUE DU SUD_Stellenbosch University,ETATS-UNIS_University of the Pacific,PAYS-BAS_University of Leiden,"ANGLETERRE_Royal Holloway University, London",PAYS-BAS_University of Amsterdam,CHYPRE_Cyprus Institute,SUEDE_University of Göteborg,ANGLETERRE_Wikimedia UK,ETATS-UNIS_University of Massachusetts Amherst,ANGLETERRE_University College London,ALLEMAGNE_University of Hamburg,ANGLETERRE_The Watercolour World,ANGLETERRE_University of Nottingham,FRANCE_University Paris Sorbonne,ALLEMAGNE_Frankfurt Big Data Lab,"FRANCE_CY Tech, CY Cergy Paris University",ITALIE_University of Bologna,ANGLETERRE_University of Surrey,SUISSE_University of Lausanne,ETATS-UNIS_Indiana University,PAYS-BAS_Recollection Heritage,ANGLETERRE_A Street Near You,ETATS-UNIS_Smithsonian Institute,ETATS-UNIS_Creative Commons,ETATS-UNIS_Yale University,AUTRICHE_Austrian Institute of Technology,ETATS-UNIS_Palestine Open Maps,BELGIQUE_University of Antwerp,ANGLETERRE_Bournemouth University,PAYS-BAS_Europeana Foundation,"ETATS-UNIS_University of California, Berkeley",ITALIE_Fondazione Museo delle Antichità Egizie di Torino,ANGLETERRE_Durham University,ETATS-UNIS_Mississippi State University,ITALIE_University of Milan,ANGLETERRE_British Museum,ITALIE_Museo Egizio Torino,"ANGLETERRE_Fitzwilliam Museum, University of Cambridge",ANGLETERRE_Science Museum Group,ISRAEL_Hebrew University of Jerusalem,CANADA_University of Toronto,ESPAGNE_Universitat Jaume I,ETATS-UNIS_New York University,ITALIE_University of Pavia,ESPAGNE_University of Oviedo,ALLEMAGNE_University of Erfurt,ALLEMAGNE_Humboldt University of Berlin,FRANCE_Institut national des sciences appliquées de Lyon (INSA Lyon),PAYS-BAS_Rijksmuseum van Oudheden Leiden,ITALIE_Liceo Classico G. Pantaleo - Castelvetrano (TP),ROME_La Sapienza University of Rome,SUISSE_Université de Neuchâtel,ISRAEL_Tel Aviv University-University of London,"EGYPTE_Ain Shams University,",ANGLETERRE_University of Sheffield,ETATS-UNIS_Barnard College,independent scholar,IRLANDE_Maynooth University,ITALIE_British School at Rome,PORTUGAL_University of Porto,ANGLETERRE_Endangered Material Knowledge Programme,"ANGLETERRE_GLAM-E Lab, University of Exeter",ETATS-UNIS_Bard College,ALLEMAGNE_University Leipzig,AUTRICHE_University Wien,AUTRICHE_University of Wien,BELGIQUE_University of Leuven,ALLEMAGNE_University Frankfurt,ALLEMAGNE_Free University of Berlin,ANGLETERRE_Oxford Text Archive,DANEMARK_Copenhagen University,ANGLETERRE_University of York,SUEDE_Lund University,ETATS-UNIS_Columbia University,ECOSSE_University of Glasgow,CANADA_University of Ottawa,ETATS-UNIS_Digital Heritage Consulting,PAYS-BAS_Leiden University,ITALIE_Ca' Foscari University of Venice,ITALIE_Kore University of Enna
16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
